ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000024957	O88454	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000250|UniProtKB:Q9NYG8}.
ENSMUSG00000003308	Q9Z2X8	SUBUNIT: Homodimer. Forms a ternary complex with NFE2L2 and PGAM5. Interacts with the N-terminal regulatory domain of NFE2L2/NRF2. Interacts with BPTF and PTMA. Interacts with CUL3. Part of a complex that contains KEAP1, CUL3 and RBX1 (By similarity). Interacts indirectly with ENC1 (By similarity). Interacts with MAP1LC3B (By similarity). Interacts with SESN1 and SESN2 (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q14145}.
ENSMUSG00000026058	Q9WU01	SUBUNIT: Self-associates to form homooligomers (By similarity). Interacts with RBMX, SAFB, SFRS9 and YTHDC1 (By similarity). Found in a complex with KHDRBS1, KHDRBS2 and KHDRBS3. Interacts with the SH3 domains of FYN and PLCG1. Interacts with the SH2 domains of FYN, GRAP2, PLCG1 and RASA1. {ECO:0000250, ECO:0000269|PubMed:10077576}.
ENSMUSG00000025574	P04184	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000001558	Q9D5V2	SUBUNIT: Self-associates (By similarity). Interacts with CUL3; indicative for the participation in an E3 ubiquitin ligase complex. {ECO:0000250, ECO:0000269|PubMed:16162871}.
ENSMUSG00000079852	Q60651	SUBUNIT: Homodimer; disulfide-linked.
ENSMUSG00000030114	O88713	SUBUNIT: Forms a monomer and homodimer; disulfide-linked (By similarity). Interacts (via ITIM motif) with PTPN11 and INPP5D. {ECO:0000250, ECO:0000269|PubMed:17307799, ECO:0000269|PubMed:19604491}.
ENSMUSG00000042529	P52187	SUBUNIT: Homotetramer. Forms heteromer with KCNJ4. Association, via its PDZ-recognition domain, with LIN7A, LIN7B, LIN7C, DLG1, CASK and APBA1 plays a key role in its localization and trafficking (By similarity). {ECO:0000250}.
ENSMUSG00000040724	P63141	SUBUNIT: Homotetramer and heterotetramer with other channel-forming alpha subunits, such as KCNA1, KCNA4, KCNA5, KCNA6 and KCNA7 (PubMed:8361541, PubMed:9852577, PubMed:23864368). Channel activity is regulated by interaction with beta subunits, including KCNAB1 and KCNAB2 (By similarity). Identified in a complex with KCNA1 and KCNAB2 (By similarity). Identified in a complex with KCNA5 and KCNAB1 (By similarity). Identified in a complex with KCNA4 and FYN (By similarity). Interacts with PTK2B (By similarity). Interacts (via C-terminus) with CTTN (By similarity). Interacts with ADAM22 (By similarity). Interacts with CNTNAP2 (By similarity). Interacts (via C-terminus) with the PDZ domains of DLG1, DLG2 and DLG4 (By similarity). Interacts (via N-terminal cytoplasmic domain) with RHOA (GTP-bound form); this regulates channel activity by reducing location at the cell surface in response to CHRM1 activation (PubMed:9635436). Interacts with DRD2 (PubMed:21233214). Interacts with SIGMAR1; cocaine consumption leads to increased interaction (PubMed:23332758). {ECO:0000250|UniProtKB:P16389, ECO:0000250|UniProtKB:P63142, ECO:0000250|UniProtKB:Q09081, ECO:0000269|PubMed:17634333, ECO:0000269|PubMed:21233214, ECO:0000269|PubMed:23332758, ECO:0000269|PubMed:8361541, ECO:0000269|PubMed:9635436, ECO:0000269|PubMed:9852577, ECO:0000305, ECO:0000305|PubMed:23864368}.
ENSMUSG00000033998	O08581	SUBUNIT: Homodimer; disulfide-linked (PubMed:9013852). Heterodimer with KCNK2; disulfide-linked (PubMed:24496152). In astrocytes, forms mostly heterodimeric potassium channels with KCNK2, with only a minor proportion of functional channels containing homodimeric KCNK1 (By similarity). Interacts with KCNK3 and KCNK9, forming functional heterodimeric channels (By similarity). Interacts with GNG4 (PubMed:24496152). Identified in a complex with PSD and ARF6; interacts only with PSD that is bound to ARF6 (PubMed:15540117). Interacts with UBE2I (By similarity). {ECO:0000250|UniProtKB:O00180, ECO:0000269|PubMed:15540117, ECO:0000269|PubMed:24496152, ECO:0000269|PubMed:9013852}.
ENSMUSG00000037624	P97438	SUBUNIT: Homodimer; disulfide-linked (PubMed:24496152). Heterodimer with KCNK1; disulfide-linked (PubMed:24496152). Interacts with BVES; the interaction enhances KCNK2 surface expression and is inhibited by cAMP (PubMed:22354168, PubMed:26642364). {ECO:0000269|PubMed:22354168, ECO:0000269|PubMed:24496152, ECO:0000269|PubMed:26642364, ECO:0000305}.
ENSMUSG00000028790	Q60749	SUBUNIT: Self-associates to form homooligomers when bound to RNA, oligomerization appears to be limited when binding to proteins. Interacts with CBL, KHDRBS3, LCK, GRB2, JAK3, PIK3R1, PLCG1, PTPN6, RASA1, RBMY1A1 and STAT3. Interacts with PRMT1. Binds the WW domains of WBP4/FBP21, FNBP4/FBP30 and the SH3 domain of FYN through the Arg/Gly-rich-flanked Pro-rich regions. Forms a complex with ILF2, ILF3, YLPM1, RBMX, NCOA5 and PPP1CA (By similarity). Interacts with PTK6 (via SH3 and SH2 domains). Does not interact with TPR (By similarity). {ECO:0000250}.
ENSMUSG00000041734	Q80W68	SUBUNIT: Interacts with TJP1/ZO-1 and with NPHS2/podocin (via the C-terminus). Interacts with NPHS1/nephrin (via the Ig-like domains); this interaction is dependent on KIRREL glycosylation. Homodimer (via the Ig-like domains). Interacts when tyrosine-phosphorylated with GRB2 (By similarity). {ECO:0000250}.
ENSMUSG00000062901	Q8BRG6	SUBUNIT: Forms homodimers. Interacts with GRIK2 (By similarity). {ECO:0000250}.
ENSMUSG00000048310	Q91YA2	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000027895	Q8R1C0	SUBUNIT: Homotetramer (Probable). Heterotetramer of potassium channel proteins (By similarity). {ECO:0000250, ECO:0000305}.
ENSMUSG00000060882	Q9Z0V2	SUBUNIT: Homotetramer or heterotetramer with KCND3 or KCND1 (PubMed:9734479, PubMed:11909823, PubMed:19713751, PubMed:20943905). Associates with the regulatory subunits KCNIP1, KCNIP2, KCNIP3 and KCNIP4 (PubMed:11909823, PubMed:19713751, PubMed:20943905). In vivo, probably exists as heteromeric complex containing variable proportions of KCND1, KCND2, KCND3, KCNIP1, KCNIP2, KCNIP3, KCNIP4, DPP6 and DPP10 (PubMed:19713751). The tetrameric channel can associate with up to four regulatory subunits, such as KCNIP2 or KCNIP4 (By similarity). Interaction with four KCNIP4 chains does not reduce interaction with DPP10 (By similarity). Interacts with DLG1 (By similarity). Interacts with DLG4 (By similarity). Interacts with NCS1/FREQ (PubMed:11606724). Probably part of a complex consisting of KCNIP1, KCNIP2 isoform 3 and KCND2 (By similarity). Interacts with FLNA and FLNC (By similarity). Interacts with DPP6 and DPP10 (PubMed:19713751, PubMed:22311982). Identified in a complex with cAMP-dependent protein kinase (PKA), CAV3, AKAP6 and KCND3 in cardiac myocytes (By similarity). {ECO:0000250|UniProtKB:Q63881, ECO:0000250|UniProtKB:Q9NZV8, ECO:0000269|PubMed:11909823, ECO:0000269|PubMed:19713751, ECO:0000269|PubMed:20943905, ECO:0000269|PubMed:22311982, ECO:0000269|PubMed:9734479}.
ENSMUSG00000041695	P35561	SUBUNIT: Homomultimeric and heteromultimeric association with KCNJ4/Kir2.3. Association, via its PDZ-recognition domain, with LIN7A, LIN7B, LIN7C, DLG1, CASK and APBA1 plays a key role in its localization and trafficking (By similarity). {ECO:0000250}.
ENSMUSG00000049265	O35111	SUBUNIT: Homodimer. Heterodimer with KCNK1. {ECO:0000250|UniProtKB:O14649}.
ENSMUSG00000021622	Q6P8J7	SUBUNIT: Exists as an octamer composed of four CKMT2 homodimers. {ECO:0000250}.
ENSMUSG00000063229	P06151	SUBUNIT: Homotetramer.
ENSMUSG00000041939	Q9R008	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000030173	Q60652	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000269|PubMed:11254682}.
ENSMUSG00000089727	Q60682	SUBUNIT: Homodimer; disulfide-linked.
ENSMUSG00000068220	P16045	SUBUNIT: Homodimer. Binds LGALS3BP. Interacts with CD2, CD3, CD4, CD6, CD7, CD43, ALCAM and CD45. Interacts with laminin (via poly-N-acetyllactosamine). Interacts with SUSD2. {ECO:0000250|UniProtKB:P09382}.
ENSMUSG00000028986	Q8BUL5	SUBUNIT: Homodimer. Component of the BCR(KLHL7) E3 ubiquitin ligase complex, at least composed of CUL3 and KLHL7 and RBX1 (By similarity). {ECO:0000250}.
ENSMUSG00000079298	Q99JB4	SUBUNIT: Homodimer; disulfide-linked. Interacts with tyrosine kinase LCK. Binds PTPN6/SHP-1 in a phosphorylation-dependent manner. {ECO:0000269|PubMed:12858173, ECO:0000269|PubMed:14990792}.
ENSMUSG00000025223	P70662	SUBUNIT: Interacts with ESR1 (By similarity). Forms homodimers and heterodimers. Interacts with and activates LHX1/LIM1. Interacts with the LIM domains of ISL1 and LMO2. Can assemble in a complex with LMO2 and TAL1/SCL but does not interact with TAL1/SCL directly. Strongly interacts with the LIM2 domain of LMX1A and more weakly with the LIM1 domain. Homodimerization is not required for, and does not effect, LMX1A-binding. Component of a nuclear TAL-1 complex composed at least of CBFA2T3, LDB1, TAL1 and TCF3. Interacts with LHX6 and LHX9. At neuronal promoters, forms a complex with LHX3 involved in the specification of interneurons, in motor neurons, it is displaced by ISL1 to form a ternary complex in which ISL1 contacts both LHX3 and LDB1. Interacts with SLK; leading to negatively regulate SLK kinase activity (PubMed:19675209). {ECO:0000250, ECO:0000269|PubMed:10330499, ECO:0000269|PubMed:10393337, ECO:0000269|PubMed:11882901, ECO:0000269|PubMed:12150931, ECO:0000269|PubMed:15343268, ECO:0000269|PubMed:16407974, ECO:0000269|PubMed:19675209, ECO:0000269|PubMed:8918878, ECO:0000269|PubMed:9315627, ECO:0000269|PubMed:9391090, ECO:0000269|PubMed:9468533}.
ENSMUSG00000067591	Q64329	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000269|PubMed:14595439, ECO:0000269|PubMed:18426793}.
ENSMUSG00000019961	Q61033	SUBUNIT: Homooligomer. Interacts with LMNA, BANF1 and RB1 and with chromosomes. Associates directly or indirectly with lamins at specific cell-cycle stages (By similarity). {ECO:0000250}.
ENSMUSG00000030851	P00342	SUBUNIT: Homotetramer. Interacts with RABL2/RABL2A; binds preferentially to GTP-bound RABL2. {ECO:0000269|PubMed:23055941}.
ENSMUSG00000030246	P16125	SUBUNIT: Homotetramer.
ENSMUSG00000021190	O89017	SUBUNIT: May interact with integrins (By similarity). Monomer after autocatalytic processing. Homodimer before autocatalytic removal of the propeptide. {ECO:0000250, ECO:0000269|PubMed:24407422}.
ENSMUSG00000024026	Q9CPU0	SUBUNIT: Homodimer. {ECO:0000269|PubMed:18695250}.
ENSMUSG00000030946	Q9D7I5	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000033880	Q07797	SUBUNIT: Homodimers and homomultimers. The multimers form ring-like structures with a diameter of 30-40 nm. Binds LGALS1 and LGALS3. Binds ITGB1, COL4A1, COL5A1, COL6A1, FN1 and NID (By similarity). Interacts with PPIC (in vitro). {ECO:0000250, ECO:0000269|PubMed:8341703}.
ENSMUSG00000016487	Q8C8U0	SUBUNIT: Forms homodimers and heterodimers. Interacts with S100A4 in a calcium-dependent mode (By similarity). {ECO:0000250}.
ENSMUSG00000035576	A2A5N8	SUBUNIT: Homodimer. Interacts with RB1/RB (when monomethylated at 'Lys-860'). Interacts with p53/TP53 (when monomethylated at 'Lys-382'). Interacts with CBX3, ETV6, KMT5A and VCP/p97 (By similarity). {ECO:0000250}.
ENSMUSG00000023845	Q8C129	SUBUNIT: Homodimer. Binds tankyrases 1 and 2 (By similarity). {ECO:0000250}.
ENSMUSG00000043501	Q9CQW5	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000057554	Q9JL15	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000053846	Q9WVG5	SUBUNIT: Head to tail homodimer. {ECO:0000250}.
ENSMUSG00000024590	P14733	SUBUNIT: Homodimer. Interacts with lamin-associated polypeptides IA, IB and 2 (By similarity). {ECO:0000250}.
ENSMUSG00000040490	Q80TG9	SUBUNIT: Forms heteromeric complexes with LRFN1, LRFN3, LRFN4 and LRFN5. Can form homomeric complexes, but not across cell junctions (By similarity). Interacts with DLG4. Directly interacts with DLG1, DLG2 and DLG3 (By similarity). Directly interacts with 2 NMDA receptor subunits GRIN1 and GRIN2A (By similarity). {ECO:0000250}.
ENSMUSG00000024913	Q91VN0	SUBUNIT: Homodimer; disulfide-linked. Forms phosphorylated oligomer aggregates on Wnt-signaling. Component of a WNT-signaling complex that contains a WNT protein, a FZD protein and LRP5 or LRP6. Interacts with FZD8; the interaction is formed on WNT-binding and signaling. Interacts (via the phosphorylated PPPSP motif domains) with AXIN1; the interaction prevents inhibition of beta-catenin phosphorylation and signaling and is enhanced in the presence of GSK3B and WNT1 or WNT3A. Interacts (via beta-propeller regions 3 and 4) with DKK1; the interaction, enhanced by MESD and/or KREMEN, inhibits beta-catenin signaling by preventing GSK3-mediated phosphorylation of the PPPSP motifs and subsequent, AXIN1 binding. Interacts with CSNK1E. Interacts with SOST; the interaction antagonizes canonical Wnt signaling. Interacts with APCDD1 (By similarity). Interacts with MESD; the interaction prevents the formation of LRP5 aggregates, targets LRP5 to the plasma membrane and, when complexed with KREMEN2, increases DKK1 binding. {ECO:0000250, ECO:0000269|PubMed:12581525}.
ENSMUSG00000015568	P11152	SUBUNIT: Homodimer (By similarity). Interacts with APOC2; the interaction activates LPL activity in the presence of lipids (By similarity). Interacts with GPIHBP1. {ECO:0000250, ECO:0000269|PubMed:17403372}.
ENSMUSG00000015133	Q3UHC2	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000027297	P08923	SUBUNIT: Homodimer when bound to ligand (Probable). Part of a complex including LTK, TNK2 and GRB2, in which GRB2 promotes LTK recruitment by TNK2 (By similarity). Isoform A binds calnexin. {ECO:0000250, ECO:0000305}.
ENSMUSG00000049556	Q9D1T0	SUBUNIT: Homotetramer. Forms a ternary complex with RTN4R/NGFR and RTN4R/TNFRSF19 (By similarity). Interacts with NGRF and MYT1L (PubMed:18186492). Interacts with RTN4R (PubMed:18186492, PubMed:22923615). {ECO:0000250|UniProtKB:Q96FE5, ECO:0000269|PubMed:18186492, ECO:0000269|PubMed:22923615}.
ENSMUSG00000029674	P53668	SUBUNIT: Self-associates to form homodimers. Interacts with HSP90AA1; this interaction promotes LIMK1 dimerization and subsequent transphosphorylation. Interacts with CDN1C (By similarity). Interacts (via LIM domain) with the cytoplasmic domain of NRG1. Interacts with NISCH and SSH1. Interacts with RLIM and RNF6. {ECO:0000250, ECO:0000269|PubMed:15660133, ECO:0000269|PubMed:16204183, ECO:0000269|PubMed:18332102}.
ENSMUSG00000041891	Q9D0F3	SUBUNIT: Exists both as a covalent disulfide-linked homohexamer, and a complex of three disulfide-linked dimers non-covalently kept together. Interacts with MCFD2. May interact with TMEM115. {ECO:0000250|UniProtKB:P49257}.
ENSMUSG00000040390	Q66L42	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000003863	P60469	SUBUNIT: Forms homodimers and heterodimers with liprins-alpha and liprins-beta. Interacts with the second PTPase domain of PTPRD, PTPRF and PTPRS. Binds RIMS1, RIMS2, RIMS3 and RIMS4. {ECO:0000250|UniProtKB:O75145, ECO:0000250|UniProtKB:Q91Z79}.
ENSMUSG00000028063	P48678	SUBUNIT: Homodimer of lamin A and lamin C. Interacts with lamin-associated polypeptides IA, IB and TMPO-alpha, RB1 and with emerin. Proteolytically processed isoform A interacts with NARF (By similarity). Interacts with SREBF1, SREBF2, SUN1, SUN2 and TMEM43. Prelamin-A/C interacts with EMD. Interacts with DMPK; may regulate nuclear envelope stability (By similarity). Interacts with MLIP; may regulate MLIP localization to the nucleus envelope. Interacts with SUV39H1; the interaction increases stability of SUV39H1. {ECO:0000250, ECO:0000269|PubMed:11929849, ECO:0000269|PubMed:16380439, ECO:0000269|PubMed:16648470, ECO:0000269|PubMed:18230648, ECO:0000269|PubMed:19843581, ECO:0000269|PubMed:19933576, ECO:0000269|PubMed:21498514, ECO:0000269|PubMed:23695662}.
ENSMUSG00000041168	Q8CGK3	SUBUNIT: Homohexamer or homoheptamer. Organized in a ring with a central cavity. DNA and RNA binding is stimulated by substrate and inhibited by ATP binding. Interacts with PEO1 and mitochondrial DNA polymerase subunit POLG. {ECO:0000255|HAMAP-Rule:MF_03120}.
ENSMUSG00000030600	Q2WF71	SUBUNIT: Can form heteromeric complexes with LRFN2, LRFN3, LRFN4 and LRFN5. Forms homomeric complexes, but not across cell junctions. Interacts with DLG4. Interacts also with DLG1, DLG2, and DLG3 (By similarity). Interacts with 2 AMPA receptor subunits GRIA1 and GRIA2 and NMDA receptor subunit GRIN1. {ECO:0000250, ECO:0000269|PubMed:16828986, ECO:0000269|PubMed:18227064}.
ENSMUSG00000041044	Q8K099	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q9JMH2}.
ENSMUSG00000004054	Q80XI6	SUBUNIT: Homodimer; undergoes dimerization during activation. Interacts with MAP2K4/MKK4 and MAP2K7/MKK7. {ECO:0000250}.
ENSMUSG00000026305	Q3UZ39	SUBUNIT: Homodimer. May also form higher oligomers. Interacts with FLII. Interacts with MYD88 (By similarity). Competes with FLII for MyD88-binding, even in the absence of LPS (By similarity). {ECO:0000250}.
ENSMUSG00000025903	P97823	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000024085	P27046	SUBUNIT: Homodimer; disulfide-linked.
ENSMUSG00000028979	Q91WP0	SUBUNIT: Homodimer; disulfide-linked. Binds MBL2. Isoform 2 binds to MASP1. Binds SERPING1 (By similarity). {ECO:0000250}.
ENSMUSG00000027253	Q8VI56	SUBUNIT: Homooligomer. Interacts with MUSK; the heterodimer forms an AGRIN receptor complex that binds AGRIN resulting in activation of MUSK. Interacts (via the extracellular domain) with SOST; the interaction facilitates the inhibition of Wnt signaling (By similarity). {ECO:0000250}.
ENSMUSG00000036273	Q5S006	SUBUNIT: Homodimer. Interacts with PARK2, PRDX3 and TPCN2 (By similarity). Interacts with VPS35 and RAB29. {ECO:0000250, ECO:0000269|PubMed:23395371}.
ENSMUSG00000055435	P54843	SUBUNIT: Homodimer or heterodimer with other bHLH-Zip transcription factors. Binds DNA as a homodimer or as a heterodimer. Heterotetramer of two MAF and two USF2. Interacts with PAX6; the interaction is direct. Interacts with MYB; interaction takes place weakly in normal T-cells and increases in T-cells following stimulation through the TCR engagement. Interacts with MYB; the ternary complex formed with MYB and the CD13 promoter is regulated in response to differentiating signals. Interacts with USF2; the interaction inhibits its DNA-binding activity on the L7 promoter. Interacts with CREBBP, EP300 and ETS1 (By similarity). {ECO:0000250}.
ENSMUSG00000029166	Q6PER3	SUBUNIT: Homodimer. Heterodimer with MAPRE1. Interacts with DCTN1 and SRCIN1. Binds to the C-terminal domain of APC. Binds monomeric and polymerized tubulin. Interacts (via C-terminus) with CLIP1. Interacts with SLAIN2 (By similarity). Interacts with APC2. {ECO:0000250, ECO:0000269|PubMed:17310996}.
ENSMUSG00000020869	Q922Q8	SUBUNIT: Can form homodimers. Interacts with SGO1. Interacts with FGF1. {ECO:0000250}.
ENSMUSG00000001247	Q99KG5	SUBUNIT: Homotrimer or homotetramer. {ECO:0000250}.
ENSMUSG00000087260	Q9D1L9	SUBUNIT: Homodimer. Part of the Ragulator complex composed of LAMTOR1, LAMTOR2, LAMTOR3, LAMTOR4 and LAMTOR5. LAMTOR4 and LAMTOR5 form a heterodimer that interacts, through LAMTOR1, with a LAMTOR2, LAMTOR3 heterodimer. The Ragulator complex interacts with both the mTORC1 complex and heterodimers constituted of the Rag GTPases RRAGA, RRAGB, RRAGC and RRAGD; regulated by amino acid availability. The Ragulator complex interacts with SLC38A9; the probable amino acid sensor. Interacts with phosphorylated BIRC5; the resulting complex binds pro-caspase-9, as well as active caspase-9, but much less efficiently. Interacts with SUPV3L1. Interacts with hepatitis B virus (HBV) oncoprotein HBX C-terminus. {ECO:0000250|UniProtKB:O43504}.
ENSMUSG00000025779	Q9JHF9	SUBUNIT: Heterogeneous homopolymer formed from homodimers; disulfide-linked (By similarity). Belongs to the lipopolysaccharide (LPS) receptor, a multi-protein complex containing at least CD14, LY96 and TLR4 (PubMed:10725698, PubMed:20133493, PubMed:24380872). Binds to the extracellular domain of TLR4 (PubMed:10725698, PubMed:20133493, PubMed:24380872, PubMed:17803912, PubMed:22532668). Binds to the extracellular domain of TLR2 (By similarity). Ligand binding induces interaction with TLR4 and oligomerization of the complex (PubMed:20133493, PubMed:24380872, PubMed:22532668). {ECO:0000250|UniProtKB:Q9Y6Y9, ECO:0000269|PubMed:10725698, ECO:0000269|PubMed:17803912, ECO:0000269|PubMed:20133493, ECO:0000269|PubMed:22532668, ECO:0000269|PubMed:24380872}.
ENSMUSG00000024863	P41317	SUBUNIT: Oligomeric complex of 3 or more homotrimers. Interacts with MASP1 and MASP2 (By similarity). Interacts with MEP1A and MEP1B and may inhibit their catalytic activity (By similarity). {ECO:0000250}.
ENSMUSG00000041607	P04370	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000020377	Q60860	SUBUNIT: Homotrimer. Interacts with ALOX5AP and ALOX5 (By similarity). {ECO:0000250}.
ENSMUSG00000025245	Q9JHQ5	SUBUNIT: Self-associates. Interacts with BBS9; the interaction mediates the association of LZTL1 with the BBsome complex and regulates BBSome ciliary trafficking.
ENSMUSG00000038886	Q8BRK9	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000250}.
ENSMUSG00000021033	Q9WVL0	SUBUNIT: Homodimer. {ECO:0000305|Ref.7}.
ENSMUSG00000042622	O54791	SUBUNIT: Monomer and homo- or heterodimer. Interacts with MIP (By similarity). {ECO:0000250}.
ENSMUSG00000051510	O54790	SUBUNIT: Homodimer or heterodimer. Homodimerization leads to transcriptional repression. Forms high affinity heterodimers with members of the CNC-bZIP family such as NFE2, NFE2L1/NRF1, NFE2L2/NRF2 and NFE2L3/NRF3. Interacts with NFE2; the interaction results in transactivation activation. Interacts with CREBBP; the interaction leads to acetylation of the basic region of MAFG and stimulation of NFE2 transcriptional activity through increased DNA binding (By similarity). {ECO:0000250}.
ENSMUSG00000024556	Q99KE1	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000027479	Q61166	SUBUNIT: Homodimer. Heterodimer with MAPRE3. Interacts with DCTN1, DCTN2, DIAPH1, DIAPH2, TERF1 and dynein intermediate chain. Interacts with APC (via C-terminal domain), CLASP2, DST, KIF2C and STIM1; probably required for their targeting to the growing microtubule plus ends. Interacts with MTUS2; interaction is direct and probably targets MTUS2 to microtubules. Interacts with APC2. Interacts with CLASP1. Interacts (via C-terminus) with CLIP1. Interacts with SLAIN2 (PubMed:21646404). According to PubMed:19553473, MAPRE1 does not interact with CDK5RAP2. Interacts with MACF1 (PubMed:18854161). Interacts with KIF18B; this interaction is required for efficient accumulation of KIF18B at microtubule plus ends (By similarity). Interacts with MISP (By similarity). Interacts with RABL2/RABL2A; binds preferentially to GTP-bound RABL2 (PubMed:23055941). Interacts with KCNAB2 (PubMed:21357749). Interacts with KNSTRN. Interacts with NCKAP5L (By similarity). {ECO:0000250|UniProtKB:Q15691, ECO:0000269|PubMed:15311282, ECO:0000269|PubMed:18854161, ECO:0000269|PubMed:19553473, ECO:0000269|PubMed:21357749, ECO:0000269|PubMed:21646404, ECO:0000269|PubMed:23055941}.
ENSMUSG00000023307	Q3KNM2	SUBUNIT: Monomer and homodimer. Interacts with MFN1, MFN2, DNM1L and FIS1 (By similarity). {ECO:0000250}.
ENSMUSG00000022887	P98064	SUBUNIT: Homodimer. Interacts with the oligomeric lectins MBL1, MBL2, FCN2 and FCN3; triggers the lectin pathway of complement through activation of C3. Interacts with SERPING1 (By similarity). {ECO:0000250}.
ENSMUSG00000009647	Q3UMR5	SUBUNIT: Component of the uniplex complex, composed of MCU, MCUB, MICU1, MICU2 and EMRE/SMDT1 (By similarity). Heterotetramer with CCDC109B/MCUB; this inhibits channel activity (PubMed:23900286). Homooligomer. Homotetramer (PubMed:23900286). Interacts with MICU1; MICU1 acts as an essential regulator for MCU. Interacts with MCUR1. Interactions with MICU1 and MCUR1 are mutually exclusive. Interacts with MICU2 (By similarity). {ECO:0000250|UniProtKB:Q8NE86, ECO:0000269|PubMed:23409044, ECO:0000269|PubMed:23900286}.
ENSMUSG00000073413	Q9Z1Q3	SUBUNIT: Homodimer. {ECO:0000269|PubMed:17008713}.
ENSMUSG00000008035	Q9CQ20	SUBUNIT: Homodimer in the absence of THRSP. Heterodimer with THRSP. The homodimer interacts with ACACA and ACACB. Promotes polymerization of Acetyl-CoA carboxylase to form complexes that contain MID1IP1 and ACACA and/or ACACB. Interaction with THRSP interferes with ACACA binding. {ECO:0000269|PubMed:15070402, ECO:0000269|PubMed:20457939, ECO:0000269|PubMed:20952656}.
ENSMUSG00000033618	Q1HKZ5	SUBUNIT: Homodimer; forms dimers through the leucine-zipper motif. Interacts with the C-terminus of MAPK8IP1 through the kinase catalytic domain. Binds PRDX3. Associates with the IKK complex through the kinase domain.
ENSMUSG00000014426	O08648	SUBUNIT: Monomer and homodimer. Homodimerization enhances kinase activity. Interacts with TRAF4; this promotes homodimerization. Binds both upstream activators and downstream substrates in multimolecular complexes. Interacts with AXIN1 and DIXDC1; interaction with DIXDC1 prevents interaction with AXIN1. {ECO:0000269|PubMed:15262978, ECO:0000269|PubMed:16157600, ECO:0000269|PubMed:9079650}.
ENSMUSG00000071369	O35099	SUBUNIT: Homodimer when inactive (By similarity). Binds both upstream activators and downstream substrates in multimolecular complexes. Part of a cytoplasmic complex made of HIPK1, DAB2IP and MAP3K5 in response to TNF (By similarity). This complex formation promotes MAP3K5-JNK activation and subsequent apoptosis (By similarity). Interacts with SOCS1 which recognizes phosphorylation of Tyr-725 and induces MAP3K5/ASK1 degradation in endothelial cells (By similarity). Interacts with the 14-3-3 family proteins such as YWHAB, YWHAE, YWHAQ, YWHAH, YWHAZ and SFN (By similarity). Interacts with ARRB2, BIRC2, DAB2IP, IGF1R, MAP3K6/ASK2, PIM1, PGAM5, PPP5C, SOCS1, STUB1, TRAF2 and TXN (By similarity). Interacts with ERN1 in a TRAF2-dependent manner (By similarity). Interacts with calcineurin subunit PPP3R1, PPM1L and TRAF6. Interacts (via N-terminus) with RAF1 and this interaction inhibits the proapoptotic function of MAP3K5. Interacts with DAB2IP (via N-terminus C2 domain); the interaction occurs in a TNF-alpha-dependent manner (By similarity).Interacts with DUSP13/DUSP13A; may positively regulate apoptosis (By similarity). {ECO:0000250}.
ENSMUSG00000018143	Q61827	SUBUNIT: Homodimer or heterodimer. It can form high affinity heterodimers with members of the CNC-bZIP family such as NFE2, NFE2L1/NRF1, NFE2L2/NRF2 and NFE2L3/NRF3 (By similarity). {ECO:0000250}.
ENSMUSG00000040502	Q3TZ87	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000074651	Q3UZ45	SUBUNIT: Heterodimer (via coiled-coil domain) with GMNN (via coiled-coil domain); targets GMNN to the nucleus. Can form homodimers (in vitro, via coiled-coil domain), but these are much less stable than the heterodimer formed with GMNN. {ECO:0000250|UniProtKB:D6RGH6}.
ENSMUSG00000029554	Q9WTX8	SUBUNIT: Homodimer. Heterodimerizes with MAD2L1 in order to form a tetrameric MAD1L1-MAD2L1 core complex. Perturbation of the original MAD1L1-MAD2L1 structure by the spindle checkpoint may decrease MAD2L1 affinity for MAD1L1. CDC20 can compete with MAD1L1 for MAD2L1 binding, until the attachment and/or tension dampen the checkpoint signal, preventing further release of MAD2L1 on to CDC20. Also able to interact with the BUB1/BUB3 complex (By similarity). Interacts with NEK2. Interacts with TPR; the interactions occurs in a microtubule-independent manner (By similarity). {ECO:0000250}.
ENSMUSG00000020321	P14152	SUBUNIT: Homodimer.
