Entry	Gene names	Subunit structure [CC]
Q80UN1	Kctd9	
Q8VCD7	Kdm4c Jhdm3c Jmjd2c Kiaa0780	
Q80Y84	Kdm5b Jarid1b Kiaa4034 Plu1	SUBUNIT: Interacts with FOXG1B, PAX9, MYC, MYCN and RB1. Interacts with HDAC1, HDAC4, HDAC5 and HDAC7. {ECO:0000250|UniProtKB:Q9UGL1}.
Q62240	Kdm5d Hya Jarid1d Smcy	SUBUNIT: Interacts with PCGF6 and MSH5. {ECO:0000250}.
Q6GV12	Kdsr Fvt1	
O35367	Kera Ktcn	
Q4KL78	Khdc1c	
Q9R226	Khdrbs3 Salp Slm2	SUBUNIT: Self-associates to form homooligomers. Interacts with the splicing regulatory proteins SFRS9, SAFB and YTHDC1. Interacts also with HNRPL and SLM1/KHDRBS2. Interacts with KHDRBS1, RBMX, RBMY1A1 and with p85 subunit of PI3-kinase (By similarity). {ECO:0000250}.
Q80U38	Khnyn Kiaa0323	
Q5SXA9	Wwc1 Kiaa0869	SUBUNIT: Homodimer. Interacts with DDN. Interacts with DYNLL1 and histone H3. The interaction with DYNLL1 is mandatory for the recruitment and transactivation functions of ESR1 or DYNLL1 to the target chromatin and the interaction with histone H3 ensures proper regulatory interaction of WWC1-DYNLL1-ESR1 complexes with target chromatin. Interacts (via WW domains) with DDR1 (via PPxY motif) in a collagen-regulated manner. Interacts with PRKCZ (via the protein kinase domain). Forms a tripartite complex with DDR1 and PRKCZ, but predominantly in the absence of collagen. Interacts (via the ADDV motif) with INADL (via PDZ domain 8). Interacts (via WW domains) with SYNPO (via PPxY motifs). Interacts with NF2 and SNX4 (By similarity). {ECO:0000250}.
O35066	Kif3c	SUBUNIT: Heterodimer of KIF3A and KIF3C. {ECO:0000250}.
P05532	Kit Sl	SUBUNIT: Monomer in the absence of bound KITLG/SCF. Homodimer in the presence of bound KITLG/SCF, forming a heterotetramer with two KITLG/SCF molecules. Interacts (via phosphorylated tyrosine residues) with the adapter proteins GRB2 and GRB7 (via SH2 domain), and SH2B2/APS. Interacts (via C-terminus) with MPDZ (via the tenth PDZ domain). Interacts (via phosphorylated tyrosine residues) with the protein phosphatases PTPN6/SHP-1 (via SH2 domain), PTPN11/SHP-2 (via SH2 domain) and PTPRU. Interacts with DOK1 and TEC (By similarity). Interacts with the protein kinase FES/FPS. Interacts with PLCG1. Interacts (via phosphorylated tyrosine residues) with PIK3R1 and PIK3 catalytic subunit. Interacts (KITLG/SCF-bound) with IL1RL1. Interacts with IL1RAP (independent of stimulation with KITLG/SCF). A mast cell-specific KITLG/SCF-induced interleukin-33 signaling complex contains IL1RL1, IL1RAP, KIT and MYD88. {ECO:0000250|UniProtKB:P10721, ECO:0000269|PubMed:1698611, ECO:0000269|PubMed:1714377, ECO:0000269|PubMed:17255936, ECO:0000269|PubMed:17595334, ECO:0000269|PubMed:20200353, ECO:0000269|PubMed:7509796, ECO:0000269|PubMed:7527401, ECO:0000269|PubMed:9528781}.
Q921I2	Klhdc4	
Q19A41	Klf14	
Q8CFA7	Klf17 Gzf Zfp393 Znf393	
Q8CE33	Klhl11	SUBUNIT: Homodimer. Interacts with CUL3. Component of a cullin-RING-based BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex (By similarity). {ECO:0000250}.
Q8R2P1	Klhl25 Enc2	SUBUNIT: Component of the BCR(KLHL25) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL25 and RBX1. Interacts with EIF4EBP1 (when hypophosphorylated) (By similarity). {ECO:0000250}.
Q9JI74	Klhl1	
P59280	Klhl8	SUBUNIT: Component of the BCR(KLHL8) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL8 and RBX1. Interacts with RAPSN (By similarity). {ECO:0000250}.
O35082	Kl	SUBUNIT: Homodimer. Interacts with FGF23 and FGFR1. {ECO:0000269|PubMed:15135068, ECO:0000269|PubMed:17086194}.
Q9D2H2	Ak7	
Q8BN78	Zbtb33 Kaiso	SUBUNIT: Interacts with NCOR1 (By similarity). Self-associates. Interacts with CTNND1, and this interaction inhibits binding to both methylated and non-methylated DNA. Interacts with CTNND2. Interacts with KPNA2/RCH1, which may mediate nuclear import of this protein. Interacts with CBFA2T3 (By similarity). {ECO:0000250|UniProtKB:Q86T24, ECO:0000269|PubMed:10207085, ECO:0000269|PubMed:12087177, ECO:0000269|PubMed:15282317, ECO:0000269|PubMed:15564377}.
P12367	Prkar2a	SUBUNIT: The inactive form of the enzyme is composed of two regulatory chains and two catalytic chains. Activation by cAMP produces two active catalytic monomers and a regulatory dimer that binds four cAMP molecules. Interacts with AKAP4. Interacts with CBFA2T3 (By similarity). Interacts with the phosphorylated form of PJA2 (By similarity). Interacts with MYRIP. This interaction may link PKA to components of the exocytosis machinery, thus facilitating exocytosis, including insulin release (By similarity). {ECO:0000250}.
Q6ZPU9	Kif1bp Kbp Kiaa1279	SUBUNIT: Interacts with KIF1B. Interacts with STMN2. {ECO:0000250}.
Q3UQV5	Kbtbd8 Kiaa1842	
Q9DC28	Csnk1d Hckid	SUBUNIT: Binds to MAP1A. Monomer. Component of the circadian core oscillator, which includes the CRY proteins, CLOCK, or NPAS2, ARNTL/BMAL1 or ARNTL2/BMAL2, CSNK1D and/or CSNK1E, TIMELESS and the PER proteins. Interacts with MAPT/TAU, DBNDD2, AIB1/NCOA3 and ESR1. AKAP9/AKAP450 binding promotes centrosomal subcellular location. Binds to tubulins in mitotic cells upon DNA damage. Binds to SNAPIN and DNMT1. {ECO:0000269|PubMed:17101137, ECO:0000269|PubMed:20192920}.
Q8BVP5	Csnk1g2 Ck1g2	SUBUNIT: Monomer. Interacts with MTA1 (short isoform) in the cytoplasm. Interacts with SMAD3. {ECO:0000269|PubMed:15077195}.
Q8C4X2	Csnk1g3	SUBUNIT: Monomer. {ECO:0000250}.
Q8BW96	Camk1d	
A6H8H5	Kcnb2	SUBUNIT: Homotetramer or heterotetramer with KCNB1. Heterotetramer with KCNS1 and KCNS2. {ECO:0000250|UniProtKB:Q63099}.
Q63959	Kcnc3	SUBUNIT: Homotetramer or heterotetramer. Heterotetramer with KCNC1. {ECO:0000250|UniProtKB:Q14003}.
Q03719	Kcnd1	SUBUNIT: Homotetramer or heterotetramer with KCND2 and/or KCND3. Associates with the regulatory subunits KCNIP1, KCNIP2, KCNIP3 and KCNIP4. Interacts with DPP10 (By similarity). {ECO:0000250}.
Q9D808	Kcne2	SUBUNIT: Interacts with KCNB1. Associates with KCNH2/ERG1. May associate with KCNQ2 and KCNQ3. Associates with HCN1 and probably HCN2. Heteromultimer with KCNC2. Interacts with KCNC2 (By similarity). Interacts with KCNQ1; forms a heterooligomer complex that targets to the membrane raft and leading to currents with an apparently instantaneous activation, a rapid deactivation process and a linear current-voltage relationship and decreases the amplitude of the outward current (By similarity). {ECO:0000250|UniProtKB:P63161, ECO:0000250|UniProtKB:Q9Y6J6}.
P59111	Kcnh8	SUBUNIT: The potassium channel is probably composed of a homo- or heterotetrameric complex of pore-forming alpha subunits that can associate with modulating beta subunits.
P52189	Kcnj4 Irk3	SUBUNIT: Homomultimeric and heteromultimeric association with KCNJ2 and KCNJ12. Association, via its PDZ-recognition domain, with LIN7A, LIN7B, LIN7C, DLG1, DLG2, DLG4, CASK and APBA1 plays a key role in its localization and trafficking (By similarity). Interacts with TAX1BP3. TAX1BP3 competes with LIN7 family members for KCNJ4 binding. {ECO:0000250, ECO:0000269|PubMed:11997254, ECO:0000269|PubMed:16855024}.
Q9EQR3	Kcnn1 Sk1	SUBUNIT: Heterooligomer. The complex is composed of 4 channel subunits each of which binds to a calmodulin subunit which regulates the channel activity through calcium-binding (By similarity). Interacts with calmodulin. {ECO:0000250, ECO:0000269|PubMed:11267657}.
P58390	Kcnn2 Sk2	SUBUNIT: Heterooligomer. The complex is composed of 4 channel subunits each of which binds to a calmodulin subunit which regulates the channel activity through calcium-binding (By similarity). {ECO:0000250}.
Q9JK45	Kcnq5	SUBUNIT: Heteromultimer with KCNQ3 (By similarity). Forms homomers when expressed in Xenopus oocytes (PubMed:15963599). Heterotetramer with KCNQ5; have a voltage-gated potassium channel activity (By similarity). {ECO:0000250|UniProtKB:Q9NR82, ECO:0000269|PubMed:15963599}.
Q04447	Ckb Ckbb	SUBUNIT: Dimer of identical or non-identical chains. With MM being the major form in skeletal muscle and myocardium, MB existing in myocardium, and BB existing in many tissues, especially brain.
P30275	Ckmt1	SUBUNIT: Exists as an octamer composed of four MTCK homodimers.
Q8K201	Kct2	
Q5M956	Kctd1	SUBUNIT: Can form homodimers. Interacts with TFAP2A, TFAP2B and TFAP2C via the BTB domain (By similarity). {ECO:0000250}.
Q8BJK1	Kctd7	SUBUNIT: Interacts with CUL3. {ECO:0000269|PubMed:21710140}.
Q8K4H1	Afmid	SUBUNIT: Homodimer. {ECO:0000255|HAMAP-Rule:MF_03014}.
P0C605	Prkg1 Prkg1b Prkgr1a Prkgr1b	SUBUNIT: Isoform alpha: parallel homodimer or heterodimer and also heterotetramer. Interacts directly with PPP1R12A. Non-covalent dimer of dimer of PRKG1-PRKG1 and PPP1R12A-PPP1R12A. This interaction targets PRKG1 to stress fibers to mediate smooth muscle cell relaxation and vasodilation in responses to rises in cGMP (By similarity). Isoform beta: antiparallel homodimer. Part of cGMP kinase signaling complex at least composed of ACTA2/alpha-actin, CNN1/calponin H1, PLN/phospholamban, PRKG1 and ITPR1 (By similarity). Interacts with MRVI1. Forms a stable complex with ITPR1, MRVI1, and isoform beta of PRKG1 (By similarity). Interacts with TRPC7 (via ankyrin repeat domain) (By similarity). Isoform alpha interacts with RGS2 (By similarity). Interacts with GTF2I (By similarity). {ECO:0000250}.
P97328	Khk	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:P50053}.
P83555	Kir3dl1	
Q6P9P6	Kif11	SUBUNIT: Interacts with the thyroid hormone receptor in the presence of thyroid hormone. Component of a large chromatin remodeling complex, at least composed of MYSM1, PCAF, RBM10 and KIF11/TRIP5. {ECO:0000250|UniProtKB:P52732}.
P33173	Kif1a Atsv Kif1	SUBUNIT: Monomer. Interacts with PPFIA1 and PPFIA4 (By similarity). {ECO:0000250}.
Q3V300	Kif22	SUBUNIT: Interacts with FAM83D. {ECO:0000250}.
E9Q5G3	Kif23	SUBUNIT: Heterotetramer of two molecules each of RACGAP1 and KIF23. Found in the centralspindlin complex composed of RACGAP1 and KIF23. Interacts with RACGAP1; the interaction is direct. Interacts with ECT2 and PRC1. Interacts with ANXA11 during cytokinesis. Interacts with BIRC6/bruce and USP8/UBPY (By similarity). Interacts with ARF6, forming heterodimers and heterotetramers. {ECO:0000250, ECO:0000269|PubMed:22522702}.
Q9QWT9	Kifc1 Kifc4 Kifc5a Kifc5b	SUBUNIT: Binds NUBP1 and NUBP2 (PubMed:16638812). Interacts with PPP1R42 (PubMed:18237440). {ECO:0000269|PubMed:16638812, ECO:0000269|PubMed:18237440}.
Q9CR64	Tmem167a Tmem167	
A2APT9	Klhdc7a	
Q3U410	Klhl21	SUBUNIT: Component of the BCR(KLHL21) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL21 and RBX1. {ECO:0000250}.
Q99JN2	Klhl22 Kelchl	SUBUNIT: Component of the BCR(KLHL22) E3 ubiquitin ligase complex, at least composed of CUL3, KLHL22 and RBX1. Interacts with PLK1 (By similarity). {ECO:0000250}.
Q6GQU2	Klhl23	
Q8R124	Klhl36	SUBUNIT: Interacts with CUL3. {ECO:0000250}.
Q9D783	Klhl40 Kbtbd5	
Q8JZP3	Klhl2	SUBUNIT: Binds actin. Interacts with KLHL12. Interacts (via N-terminus) with FYN (via SH3 domain) (By similarity). Component of a cullin-RING-based BCR (BTB-CUL3-RBX1) E3 ubiquitin-protein ligase complex. Interacts with NPTXR and CUL3. {ECO:0000250, ECO:0000269|PubMed:21549840}.
Q6V595	Klhl6	
Q61955	Klk8 Nrpn Prss19	SUBUNIT: Interacts with SPINK9. {ECO:0000250}.
Q60660	Klra2 Ly49-b Ly49b	SUBUNIT: Homodimer; disulfide-linked.
Q60653	Klra6 Ly-49f Ly49-f Ly49F	SUBUNIT: Homodimer; disulfide-linked.
Q0ZUP1	Klrb1 Gm4696 Klrb1d Klrb1g Klrb6 Nkrp1g	
O08550	Kmt2b Mll2 Trx2 Wbp7	SUBUNIT: Component of the menin-associated histone methyltransferase complex, at least composed of KMT2B/MLL4, ASH2L, RBBP5, WDR5, DPY30, MEN1; the complex interacts with POLR2A and POLR2B via MEN1. Interacts with NFE2. Interacts with KDM6B. {ECO:0000250}.
Q8BRH4	Kmt2c Mll3	SUBUNIT: Component of the MLL2/3 complex (also named ASCOM complex), at least composed of KMT2D/MLL2 or KMT2C/MLL3, ASH2L, RBBP5, WDR5, NCOA6, DPY30, KDM6A, PAXIP1/PTIP, PAGR1 and alpha- and beta-tubulin. Interacts with histone H3. {ECO:0000250}.
Q6PDK2	Kmt2d Mll2 Mll4	SUBUNIT: Interacts with ESR1; interaction is direct (By similarity). Component of the MLL2/3 complex (also named ASCOM complex), at least composed of KMT2D/MLL2 or KMT2C/MLL3, ASH2L, RBBP5, WDR5, NCOA6, DPY30, KDM6A, PAXIP1/PTIP, PAGR1 and alpha- and beta-tubulin. {ECO:0000250, ECO:0000269|PubMed:21335234}.
P18826	Phka1	SUBUNIT: Hexadecamer of 4 heterotetramers, each composed of alpha, beta, gamma, and delta subunits. Alpha (PHKA1 or PHKA2) and beta (PHKB) are regulatory subunits, gamma (PHKG1 or PHKG2) is the catalytic subunit, and delta is calmodulin.
Q62101	Prkd1 Pkcm Pkd Prkcm	SUBUNIT: Interacts (via N-terminus) with ADAP1/CENTA1. Interacts with MAPK13. Interacts with DAPK1 in an oxidative stress-regulated manner. Interacts with USP28; the interaction induces phosphorylation of USP28 and activated KRAS-mediated stabilization of ZNF304 (By similarity). Interacts with AKAP13 (via C-terminal domain) (PubMed:24161911). {ECO:0000250|UniProtKB:Q15139, ECO:0000269|PubMed:24161911}.
Q8K1Y2	Prkd3 Prkcn	
P63318	Prkcg Pkcc Pkcg Prkcc	SUBUNIT: Interacts with CDCP1 and GRIA4 (By similarity). Interacts with TP53INP1 and p53/TP53 (By similarity). Interacts with ARNTL/BMAL1. {ECO:0000250|UniProtKB:P05129, ECO:0000250|UniProtKB:P63319, ECO:0000269|PubMed:23185022}.
P52480	Pkm Pk3 Pkm2 Pykm	SUBUNIT: Monomer and homotetramer. Exists as a monomer in the absence of fructose 1,6 bi-phosphate (FBP), and reversibly associates to form a homotetramer in the presence of FBP. The monomeric form binds T3. Tetramer formation induces pyruvate kinase activity. Interacts with HERC1, POU5F1 and PML. Interacts (isoform M2) with EGLN3; the interaction hydroxylates PKM under hypoxia and enhances binding to HIF1A. Interacts (isoform M2) with HIF1A; the interaction is enhanced by binding of EGLN3, promoting enhanced transcription activity under hypoxia (By similarity). {ECO:0000250}.
O08640	Krtap14 Pmg1	SUBUNIT: Interacts with hair keratins. {ECO:0000305}.
Q62220	Krtap5-4	SUBUNIT: Interacts with hair keratins. {ECO:0000305}.
Q6ZQF7	Jade2 Kiaa0239 Phf15	SUBUNIT: Component of the HBO1 complex composed at least of ING4 or ING5, MYST2/HBO1, MEAF6, and one of JADE1, JADE2 and JADE3. {ECO:0000250}.
Q58A65	Spag9 Jip4 Jsap2 Kiaa0516 Mapk8ip4	SUBUNIT: Homodimer. The homodimer interacts with ARF6, forming a heterotetramer (By similarity). Homooligomer. Interacts with MAX, MAPK8, MAPK14, MAPK10, MAPK14, MAP3K3, MYC, KNS2, and MAP2K4. Interaction with KNS2 is important in the formation of ternary complex with MAPK8. {ECO:0000250, ECO:0000269|PubMed:12391307, ECO:0000269|PubMed:15767678, ECO:0000269|PubMed:15987681}.
Q9JM71	Klk1b27 Klk-27 Klk27	
Q61781	Krt14 Krt1-14	SUBUNIT: Heterotetramer of two type I and two type II keratins. disulfide-linked keratin-14 associates with keratin-5. Interacts with TRADD and with keratin filaments. Associates with other type I keratins. {ECO:0000269|PubMed:16702408, ECO:0000269|PubMed:22705788}.
Q9QWL7	Krt17 Krt1-17	SUBUNIT: Heterodimer of a type I and a type II keratin. KRT17 associates with KRT6 isomers (KRT6A or KRT6B) (By similarity). Interacts with TRADD and SFN. {ECO:0000250, ECO:0000269|PubMed:16702408, ECO:0000269|PubMed:16710422}.
P19001	Krt19 Krt1-19	SUBUNIT: Heterotetramer of two type I and two type II keratins. Interacts with PNN and the actin-binding domain of DMD (By similarity). {ECO:0000250}.
A1L317	Krt24 Ka24	SUBUNIT: Heterotetramer of two type I and two type II keratins.
Q6IFZ9	Krt74 Kb37	SUBUNIT: Heterotetramer of two type I and two type II keratins. {ECO:0000305}.
Q0VBK2	Krt80 Kb20	SUBUNIT: Heterotetramer of two type I and two type II keratins.
Q8K135	Kiaa0319l Aavr	SUBUNIT: Interacts with RTN4R. {ECO:0000250|UniProtKB:Q8IZA0}.
Q810A5	Kiaa0895l	
A2CG49	Kalrn	SUBUNIT: Interacts with the C-terminal of peptidylglycine alpha-amidating monooxygenase (PAM) and with the huntingtin-associated protein 1 (HAP1). Interacts with FASLG (By similarity). {ECO:0000250}.
Q8BQR4	Kansl2 Nsl2	SUBUNIT: Component of the NSL complex at least composed of MOF/KAT8, KANSL1, KANSL2, KANSL3, MCRS1, PHF20, OGT1/OGT, WDR5 and HCFC1. {ECO:0000250}.
P12849	Prkar1b	SUBUNIT: The inactive holoenzyme is composed of two regulatory chains and two catalytic chains. Activation by cAMP releases the two active catalytic monomers and the regulatory dimer. Interacts with PRKX; regulates this cAMP-dependent protein kinase (By similarity). Interacts with smAKAP; this interaction may target PRKAR1B to the plasma membrane (By similarity). {ECO:0000250}.
P05132	Prkaca Pkaca	SUBUNIT: A number of inactive tetrameric holoenzymes are produced by the combination of homo- or heterodimers of the different regulatory subunits associated with two catalytic subunits. Protein kinase A holoenzyme is comprised of two catalytic (C) and two regulatory (R) subunits which keep the enzyme in an inhibited state before activation by cyclic-AMP. cAMP causes the dissociation of the inactive holoenzyme into a dimer of regulatory subunits bound to four cAMP and two free monomeric catalytic subunits. The cAMP-dependent protein kinase catalytic subunit binds PJA2. Both isoforms 1 and 2 forms activate cAMP-sensitive PKAI and PKAII holoenzymes by interacting with regulatory subunit (R) of PKA, PRKAR1A/PKR1 and PRKAR2A/PKR2, respectively. Interacts with NFKB1, NFKB2 and NFKBIA in platelets; these interactions are disrupted by thrombin and collagen. Binds to ABL1 in spermatozoa and with CDC25B in oocytes. Interacts with APOBEC3G and AICDA (By similarity). Interacts with RAB13; downstream effector of RAB13 involved in tight junction assembly (By similarity). {ECO:0000250, ECO:0000269|PubMed:22323819}.
Q8BTY1	Kyat1 Ccbl1 Kat	SUBUNIT: Homodimer. {ECO:0000250}.
Q8K0T4	Katnal1	
Q69ZS8	Kazn Kaz Kiaa1026	
P62482	Kcnab2 Ckbeta2 I2rf5 Kcnb3	SUBUNIT: Homotetramer (By similarity). Interaction with tetrameric potassium channel alpha subunits gives rise to a heterooctamer (By similarity). Identified in potassium channel complexes containing KCNA1, KCNA2, KCNA4, KCNA5, KCNA6, KCNAB1 and KCNAB2 (By similarity). Interacts with KCNA1 (By similarity). Interacts with KCNA2 (By similarity). Interacts with KCNA4 and KCND3 (By similarity). Interacts (in unphosphorylated form) with MAPRE1 (By similarity). Interacts with KCNA5 (PubMed:8576199, PubMed:8824288). Interacts with KCNB2 (PubMed:8824288). Forms a ternary complex with SQSTM1 and PRKCZ (By similarity). {ECO:0000250|UniProtKB:P62483, ECO:0000250|UniProtKB:Q13303, ECO:0000269|PubMed:8576199, ECO:0000269|PubMed:8824288}.
Q91YS8	Camk1	SUBUNIT: Monomer. Interacts with XPO1 (By similarity). {ECO:0000250}.
P28652	Camk2b Camk2d	SUBUNIT: CAMK2 is composed of 4 different chains: alpha (CAMK2A), beta (CAMK2B), gamma (CAMK2G), and delta (CAMK2D). The different isoforms assemble into homo- or heteromultimeric holoenzymes composed of 12 subunits with two hexameric rings stacked one on top of the other. Interacts with SYNGAP1, CAMK2N2 and MPDZ (By similarity). {ECO:0000250}.
P08414	Camk4	SUBUNIT: Monomer. Interacts with protein phosphatase 2A (PPP2CA/PPP2CB); the interaction is mutually exclusive with binding to Ca(2+)/calmodulin. {ECO:0000250}.
P86046	Kcnj13	
Q08460	Kcnma1 Kcnma	SUBUNIT: Homotetramer; which constitutes the calcium-activated potassium channel. Interacts with beta subunits KCNMB1, KCNMB2, KCNMB3 and KCNMB4. Interacts with gamma subunits LRRC26, LRRC38, LRRC52 and LRRC55. Beta and gamma subunits are accessory, and modulate its activity (By similarity). Interacts with RAB11B. {ECO:0000250, ECO:0000269|PubMed:10804197, ECO:0000269|PubMed:22935415}.
Q9JIN6	Kcnmb4	SUBUNIT: Interacts with KCNMA1 tetramer (PubMed:10804197). There are probably 4 molecules of KCMNB4 per KCNMA1 tetramer (PubMed:10804197). Interacts with FMR1 (via N-terminus) (PubMed:25561520). {ECO:0000269|PubMed:10804197, ECO:0000269|PubMed:25561520}.
Q03717	Kcnb1	SUBUNIT: Homotetramer or heterotetramer with KCNB2. Heterotetramer with non-conducting channel-forming alpha subunits such as KCNF1, KCNG1, KCNG3, KCNG4, KCNH1, KCNH2, KCNS1, KCNS2, KCNS3 and KCNV1 (By similarity). Channel activity is regulated by association with ancillary beta subunits such as AMIGO1, KCNE1, KCNE2 and KCNE3 (PubMed:22056818). Self-associates (via N-terminus and C-terminus); self-association is required to regulate trafficking, gating and C-terminal phosphorylation-dependent modulation of the channel. Interacts (via C-terminus) with STX1A (via C-terminus); this decreases the rate of channel activation and increases the rate of channel inactivation in pancreatic beta cells, induces also neuronal apoptosis in response to oxidative injury as well as pore-independent enhancement of exocytosis in neuroendocrine cells, chromaffin cells, pancreatic beta cells and from the soma of dorsal root ganglia (DRG) neurons. Interacts (via N-terminus) with SNAP25; this decreases the rate of channel inactivation in pancreatic beta cells and also increases interaction during neuronal apoptosis in a N-methyl-D-aspartate receptor (NMDAR)-dependent manner. Interacts (via N-terminus and C-terminus) with VAMP2 (via N-terminus); stimulates channel inactivation rate. Interacts with CREB1; this promotes channel acetylation in response to stimulation by incretin hormones. Interacts (via N-terminus and C-terminus) with MYL12B. Interacts (via N-terminus) with PIAS3; this increases the number of functional channels at the cell surface. Interacts with SUMO1 (By similarity). Interacts (via phosphorylated form) with PTPRE isoform 2; this reduces phosphorylation and channel activity in heterologous cells (PubMed:10921884). {ECO:0000250|UniProtKB:P15387, ECO:0000250|UniProtKB:Q14721, ECO:0000269|PubMed:10921884, ECO:0000269|PubMed:22056818}.
Q80XM3	Kcng4	SUBUNIT: Heterotetramer with KCNB1. {ECO:0000250|UniProtKB:Q8TDN1}.
Q9ER47	Kcnh7 Erg3	SUBUNIT: The potassium channel is probably composed of a homo- or heterotetrameric complex of pore-forming alpha subunits that can associate with modulating beta subunits. Heteromultimer with KCNH2/ERG1 and KCNH6/ERG2 (By similarity). {ECO:0000250}.
O88454	Kcnk4 Traak	SUBUNIT: Homodimer; disulfide-linked. {ECO:0000250|UniProtKB:Q9NYG8}.
Q8BQZ8	Kcns3	SUBUNIT: Heterotetramer with KCNB1. Does not form homomultimers. {ECO:0000250|UniProtKB:Q9BQ31}.
O54982	Kcnu1 Kcnma3 Ksper Slo3	SUBUNIT: Homotetramer; which constitutes the calcium-activated potassium channel. May interact with LRRC52; this interaction may change some channel gating properties, such as shifting gating to more negative potentials at a given pH.
Q8K177	Krtcap3	
Q8CEZ0	Kctd2	
A2A9F4	Kdf1	
Q8CIG3	Kdm1b Aof1 Lsd2	SUBUNIT: Does not form a complex with RCOR1/CoREST.
P59997	Kdm2a Fbxl11 Jhdm1a Kiaa1004	SUBUNIT: Part of a SCF (SKP1-cullin-F-box) protein ligase complex. Interacts with CBX5/HP1A; the interaction promotes CBX5 localization to chromatin (By similarity). {ECO:0000250}.
Q9CXT6	Kdm8 Jmjd5	
Q9Z2X8	Keap1 Inrf2 Kiaa0132	SUBUNIT: Homodimer. Forms a ternary complex with NFE2L2 and PGAM5. Interacts with the N-terminal regulatory domain of NFE2L2/NRF2. Interacts with BPTF and PTMA. Interacts with CUL3. Part of a complex that contains KEAP1, CUL3 and RBX1 (By similarity). Interacts indirectly with ENC1 (By similarity). Interacts with MAP1LC3B (By similarity). Interacts with SESN1 and SESN2 (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q14145}.
Q9DCY0	Keg1	SUBUNIT: Binds to microtubules. {ECO:0000250}.
Q3UWR2	Khdc1a Ndg1	
Q9CWU5	Khdc3	SUBUNIT: Component of the subcortical maternal complex (SCMC) which is essential for progression of zygotes beyond the first embryonic cell division. The complex also contains NLRP5, OOEP and TLE6. Within the complex, interacts with NLRP5. {ECO:0000269|PubMed:18057100, ECO:0000269|PubMed:18804437}.
Q9WU01	Khdrbs2 Slm1	SUBUNIT: Self-associates to form homooligomers (By similarity). Interacts with RBMX, SAFB, SFRS9 and YTHDC1 (By similarity). Found in a complex with KHDRBS1, KHDRBS2 and KHDRBS3. Interacts with the SH3 domains of FYN and PLCG1. Interacts with the SH2 domains of FYN, GRAP2, PLCG1 and RASA1. {ECO:0000250, ECO:0000269|PubMed:10077576}.
Q9QXL2	Kif21a Kiaa1708	
P28740	Kif2a Kif2 Kns2	SUBUNIT: Interacts with AURKA, PSRC1 and PLK1. {ECO:0000250}.
Q8K339	Kin Btcd Kin17	SUBUNIT: Associated with DNA polymerase alpha, RFC1 and cyclin A, in multiprotein DNA replication complexes. Also associates with replication origins at the G1/S phase boundary and throughout the S phase in vivo (By similarity). {ECO:0000250}.
P04184	Tk1 Tk-1	SUBUNIT: Homotetramer. {ECO:0000250}.
Q9R088	Tk2	SUBUNIT: Homodimer.
Q9D2D9	Klhdc8b	
Q80YG3	Klhdc1	
O35738	Klf12 Ap2rep	
Q99JB0	Klf7	
Q9D5V2	Klhl10	SUBUNIT: Self-associates (By similarity). Interacts with CUL3; indicative for the participation in an E3 ubiquitin ligase complex. {ECO:0000250, ECO:0000269|PubMed:16162871}.
Q60651	Klra4 Ly-49d Ly49-d Ly49d	SUBUNIT: Homodimer; disulfide-linked.
O88713	Klrg1 Mafa	SUBUNIT: Forms a monomer and homodimer; disulfide-linked (By similarity). Interacts (via ITIM motif) with PTPN11 and INPP5D. {ECO:0000250, ECO:0000269|PubMed:17307799, ECO:0000269|PubMed:19604491}.
Q9CR58	Slc25a30 Kmcp1	
O08633	Krtap8-1	SUBUNIT: Interacts with hair keratins.
Q99JT5	Krcc1	
Q99N43	Kremen1 Kremen	
Q8VDQ9	Kri1	
Q6S5J6	Krit1 Ccm1	SUBUNIT: Found in a complex, at least composed of ITGB1BP1, KRIT1 and RAP1A. Interacts (via C-terminus FERM domain) with RAP1A (active GTP-bound form preferentially); the interaction does not induce the opening conformation of KRIT1. Interacts (via N-terminus NPXY motif) with ITGB1BP1; the interaction induces the opening conformation of KRIT1 and competes with ITGB1 for ITGB1BP1 interaction. Associates (via N-terminus and C-terminus regions) with microtubules; the interaction is inhibited in presence of ITGB1BP1 and active GTP-bound RAP1A. Interacts (via FERM domain) with RAP1B. Interacts with CDH5. Interacts with RAP1A (By similarity). Interacts with HEG1 and CCM2; greatly facilitates CCM2-binding to HEG1. {ECO:0000250, ECO:0000269|PubMed:19151727}.
Q8BGA5	Krr1 Hrb2	SUBUNIT: Component of the ribosomal small subunit (SSU) processome. {ECO:0000250}.
Q497I4	Krt35 Krt1-24	
Q7TPS0	Rps6ka6	SUBUNIT: Forms a complex with MAPK3/ERK1 but not with MAPK9 or MAPK14 in serum-starved cells. {ECO:0000250}.
